batch_share,penalty,total_cost_eur,avg_wait_days,n_pkts_weekly,mix_2day,mix_3day,mix_4day,mix_5day,mix_6day
0.0,0.0,1977116.5677979267,0.0,1263130,0,0,0,0,312
0.0,0.25,1977116.5677979267,0.0,1263130,0,0,0,0,312
0.0,0.5,1977116.5677979267,0.0,1263130,0,0,0,0,312
0.0,1.0,1977116.5677979267,0.0,1263130,0,0,0,0,312
0.0,2.0,1977116.5677979267,0.0,1263130,0,0,0,0,312
0.1,0.0,1876336.3616054875,0.10058663795492151,1263130,31,0,0,0,281
0.1,0.25,1881138.7564300378,0.07704736118478171,1263130,26,4,0,1,281
0.1,0.5,1889968.7542260392,0.05847893724319746,1263130,14,15,1,1,281
0.1,1.0,1909802.3676736883,0.036228918110830496,1263130,2,21,1,7,281
0.1,2.0,1939194.8403552677,0.019996754094986264,1263130,0,5,2,24,281
0.2,0.0,1805930.6198125293,0.23698035831624614,1263130,62,0,0,0,250
0.2,0.25,1819675.1523120925,0.14026122937992658,1263130,47,9,2,4,250
0.2,0.5,1836302.275035111,0.10461406717176115,1263130,25,28,2,7,250
0.2,1.0,1868707.4526348757,0.06817917923465254,1263130,3,37,3,19,250
0.2,2.0,1907334.7795073083,0.04634782907011419,1263130,0,15,2,45,250
0.30000000000000004,0.0,1742533.6751888169,0.324865215773515,1263130,94,0,0,0,218
0.30000000000000004,0.25,1761623.8142163022,0.19897463707879104,1263130,70,15,4,5,218
0.30000000000000004,0.5,1787931.3232518542,0.14134794782273663,1263130,31,48,5,10,218
0.30000000000000004,1.0,1830102.6749316026,0.09317964105040652,1263130,4,52,10,28,218
0.30000000000000004,2.0,1885216.6350524358,0.06228944500302162,1263130,0,18,4,72,218
0.4,0.0,1688682.9859196304,0.4348285607973843,1263130,125,0,0,0,187
0.4,0.25,1718393.203196955,0.24866812336550206,1263130,85,25,5,10,187
0.4,0.5,1751647.3626106286,0.17479092941080224,1263130,36,62,8,19,187
0.4,1.0,1802703.032639192,0.11744317687015589,1263130,5,59,18,43,187
0.4,2.0,1865950.4492170312,0.08179086871501744,1263130,0,21,6,98,187
0.5,0.0,1640468.2465535465,0.5587017963313357,1263130,156,0,0,0,156
0.5,0.25,1678435.735781542,0.30403943642644327,1263130,98,36,10,12,156
0.5,0.5,1721801.7747066242,0.20666835559285265,1263130,41,71,13,31,156
0.5,1.0,1778844.2775233742,0.1422829268035225,1263130,6,69,18,63,156
0.5,2.0,1849671.9742442986,0.10279174220652924,1263130,0,22,7,127,156
0.6000000000000001,0.0,1597153.841899712,0.6443303539619833,1263130,187,0,0,0,125
0.6000000000000001,0.25,1641481.9438871418,0.34457828304819504,1263130,106,55,12,14,125
0.6000000000000001,0.5,1690797.4472938452,0.2338985958162132,1263130,42,90,16,39,125
0.6000000000000001,1.0,1755015.058405084,0.16165847273571737,1263130,6,78,25,78,125
0.6000000000000001,2.0,1835067.1046865836,0.11723707509651946,1263130,0,22,8,157,125
0.7000000000000001,0.0,1558103.328096039,0.7200786934044794,1263130,216,2,0,0,94
0.7000000000000001,0.25,1607265.6390535778,0.3873048168702613,1263130,116,73,14,15,94
0.7000000000000001,0.5,1665388.707753852,0.2575611114189883,1263130,47,101,19,51,94
0.7000000000000001,1.0,1734769.9118015596,0.17927159780334045,1263130,6,86,32,94,94
0.7000000000000001,2.0,1822297.9978198346,0.13050187497196117,1263130,0,22,9,187,94
0.8,0.0,1523120.0601581451,0.8094887303761291,1263130,247,3,0,0,62
0.8,0.25,1579133.4800648766,0.4265566489593311,1263130,122,92,17,19,62
0.8,0.5,1644063.9634514651,0.28197902564792754,1263130,50,112,23,65,62
0.8,1.0,1718725.3076301988,0.19731896162706927,1263130,6,91,37,116,62
0.8,2.0,1810695.4109802668,0.14560720854807777,1263130,0,22,9,219,62
0.9,0.0,1493706.271243587,0.9086630038080008,1263130,278,3,0,0,31
0.9,0.25,1556540.4969062107,0.4615343102715741,1263130,128,105,22,26,31
0.9,0.5,1626629.6821458032,0.30517589902332565,1263130,52,121,27,81,31
0.9,1.0,1705314.6075459686,0.2160973138156801,1263130,6,97,39,139,31
0.9,2.0,1800396.8668325052,0.1622170059033249,1263130,0,22,10,249,31
1.0,0.0,1473343.2231419464,0.9954268365093063,1263130,309,3,0,0,0
1.0,0.25,1541759.8330789001,0.4853889412280079,1263130,131,117,27,37,0
1.0,0.5,1614225.0661103441,0.3238141231174411,1263130,52,127,35,98,0
1.0,1.0,1696305.1680118,0.23128828122732162,1263130,6,97,43,166,0
1.0,2.0,1792418.1743780372,0.1766776446868758,1263130,0,22,10,280,0
